,Unsafespeedcrashes/2020,Improperturningcrashes/2020,DUIcrashes/2020,Othercrashes/2020,Unsafespeedcrashes/2019,Improperturningcrashes/2019,DUIcrashes/2019,Othercrashes/2019
Entire Period,"19,029","10,292","4,942","10,947","33,072","10,906","5,589","15,132"
2/3/20,521,171,102,253,708,215,114,277
2/10/20,535,193,120,303,713,214,82,260
2/17/20,563,184,100,250,548,169,88,258
2/24/20,624,186,98,292,674,220,105,272
3/2/20,531,223,110,303,617,192,98,263
3/9/20,655,269,102,253,593,213,124,330
3/16/2020,333,178,58,146,665,193,101,300
3/23/20,161,150,71,120,594,197,98,279
3/30/20,162,152,64,116,562,205,96,253
4/6/20,360,189,66,111,590,193,95,279
4/13/20,156,115,77,130,583,200,95,278
4/20/20,165,167,85,146,605,188,92,309
4/27/20,181,192,61,171,619,236,108,269
5/4/20,207,185,101,180,575,184,94,278
5/11/20,252,159,81,185,738,253,116,263
5/18/20,276,185,85,191,599,194,104,272
5/25/20,241,167,93,203,506,204,107,285
6/1/20,279,191,105,192,630,230,109,279
6/8/20,344,208,99,216,682,209,104,292
6/15/20,354,236,101,236,591,221,109,272
6/22/20,352,227,120,227,574,218,120,296
6/29/20,340,205,103,211,471,213,111,295
7/6/20,328,259,90,236,600,225,110,272
7/13/20,366,208,94,224,688,229,105,319
7/20/20,344,243,98,238,616,203,118,310
7/27/20,328,216,108,235,613,218,113,309
8/3/20,367,218,109,237,619,208,133,287
8/10/20,400,236,112,262,649,192,103,303
8/17/20,350,225,124,235,681,239,107,313
8/24/20,393,217,119,227,608,218,114,319
8/31/20,410,233,111,260,580,231,116,325
9/7/20,345,215,112,224,614,208,91,342
9/14/20,373,232,108,240,687,217,112,298
9/21/20,470,242,117,277,655,209,110,287
9/28/20,439,220,121,255,694,194,122,311
10/5/20,448,191,100,252,667,196,89,339
10/12/20,481,215,141,276,674,199,94,301
10/19/20,405,203,105,237,644,202,115,311
10/26/20,481,245,138,246,650,197,122,314
11/2/20,476,215,104,238,746,206,89,315
11/9/20,464,197,110,237,666,204,103,309
11/16/20,466,204,98,244,742,198,94,304
11/23/20,383,207,112,223,737,230,106,259
11/30/20,375,175,86,207,750,227,106,263
12/7/20,395,208,78,184,711,182,114,284
12/14/20,343,167,72,179,697,221,126,270
12/21/20,321,193,82,179,518,232,103,207
12/28/20,315,206,63,149,350,167,105,221
1/4/21,308,166,54,161,571,186,105,233
1/11/21,284,171,82,167,565,181,84,269
1/18/21,362,152,73,128,537,178,101,234
1/25/21,212,78,19,54,585,177,107,292
2/1/21,5,3,0,1,521,171,102,253
